episode_id,policy_freq,profile,method,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,lane_3_time,speed_violation_count,tailgating_violation_count,braking_violation_count,lane_keeping_violation_count,lane_change_tailgating_violation_count,lane_change_braking_violation_count,collision_violation_count,lane_change_collision_violation_count,total_cost,total_avoided_cost,total_reward,unsafe_frames,unsafe_slow_count,unsafe_lane_left_count,unsafe_lane_right_count,unsafe_faster_count,unsafe_idle_count,unsafe_ttc_frames,unsafe_ttc_slow_count,unsafe_ttc_lane_left_count,unsafe_ttc_lane_right_count,unsafe_ttc_faster_count,unsafe_ttc_idle_count,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_scps_augmented_count,outcome_projection_count
58,1,cautious,nop,nan,30,0,29.798981664924852,9.0,15.0,4.0,2.0,30,0,3,25,2,2,0,0,62.0,0.0,11.758777997909814,5,0,3,2,0,0,11,0,6,3,2,0,nan,0.0,0,0,0,0
59,1,cautious,nop,nan,30,0,29.798981664924852,4.0,15.0,11.0,0.0,30,0,2,19,1,0,0,0,52.0,0.0,11.758777997909814,2,0,1,1,0,0,5,0,2,1,1,1,nan,0.0,0,0,0,0
60,1,cautious,nop,nan,30,0,29.29898166492488,6.0,14.0,6.0,4.0,27,1,4,20,3,1,0,0,56.0,0.0,11.15877799790985,3,0,1,1,0,1,10,1,3,4,0,2,nan,0.0,0,0,0,0
61,1,cautious,nop,nan,30,0,29.798981664924852,3.0,19.0,5.0,3.0,30,0,0,21,1,1,0,1,53.0,0.0,11.758777997909814,0,0,0,0,0,0,3,0,1,2,0,0,nan,0.0,0,0,0,0
62,1,cautious,nop,nan,30,0,29.798981664924852,13.0,16.0,1.0,0.0,30,0,3,28,0,0,0,0,61.0,0.0,11.758777997909814,3,0,1,2,0,0,7,0,2,3,2,0,nan,0.0,0,0,0,0
63,1,cautious,nop,nan,30,0,29.465653191601618,12.0,7.0,5.0,6.0,28,0,4,18,1,1,0,1,52.0,0.0,11.358783829921938,3,1,0,2,0,0,6,1,0,2,0,3,nan,0.0,0,0,0,0
64,1,cautious,nop,nan,30,0,29.798981664924852,13.0,9.0,4.0,4.0,30,0,2,23,0,0,0,0,55.0,0.0,11.758777997909814,1,0,1,0,0,0,5,0,2,1,0,2,nan,0.0,0,0,0,0
65,1,cautious,nop,nan,30,0,29.798981664924852,8.0,14.0,8.0,0.0,30,0,1,23,0,0,0,0,54.0,0.0,11.758777997909814,1,0,1,0,0,0,4,0,2,2,0,0,nan,0.0,0,0,0,0
66,1,cautious,nop,nan,30,0,29.798981664924852,13.0,6.0,8.0,3.0,30,0,3,18,1,1,0,0,53.0,0.0,11.758777997909814,1,0,1,0,0,0,7,0,2,3,1,1,nan,0.0,0,0,0,0
67,1,cautious,nop,nan,30,0,29.798981664924852,0.0,17.0,8.0,5.0,30,0,1,17,2,1,0,1,51.0,0.0,11.758777997909814,0,0,0,0,0,0,5,0,1,3,0,1,nan,0.0,0,0,0,0
68,1,cautious,nop,nan,30,0,29.798981664924852,5.0,16.0,6.0,3.0,30,0,3,20,0,0,0,0,53.0,0.0,11.758777997909814,2,0,0,2,0,0,5,0,0,2,0,3,nan,0.0,0,0,0,0
69,1,cautious,nop,nan,30,0,29.798981664924852,7.0,15.0,2.0,6.0,30,0,2,22,1,0,0,0,55.0,0.0,11.758777997909814,1,0,1,0,0,0,7,0,3,2,1,1,nan,0.0,0,0,0,0
70,1,cautious,nop,nan,30,0,28.965648331591527,19.0,4.0,3.0,4.0,26,1,3,22,2,1,0,0,55.0,0.0,10.758777997909831,4,2,0,1,1,0,7,2,1,3,0,1,nan,0.0,0,0,0,0
71,1,cautious,nop,nan,30,0,29.798981664924852,7.0,8.0,15.0,0.0,30,0,6,14,1,0,0,0,51.0,0.0,11.758777997909814,3,0,1,2,0,0,10,0,2,3,2,3,nan,0.0,0,0,0,0
72,1,cautious,nop,nan,30,0,29.798981664924852,8.0,3.0,11.0,8.0,30,0,1,12,1,0,0,0,44.0,0.0,11.758777997909814,1,0,0,1,0,0,4,0,1,2,0,1,nan,0.0,0,0,0,0
73,1,cautious,nop,nan,30,0,29.798981664924852,8.0,9.0,2.0,11.0,30,0,4,18,2,1,0,0,55.0,0.0,11.758777997909814,3,0,2,1,0,0,9,0,4,1,2,2,nan,0.0,0,0,0,0
74,1,cautious,nop,nan,30,0,29.798981664924852,5.0,16.0,6.0,3.0,30,0,2,20,2,5,0,2,59.0,0.0,11.758777997909814,1,0,1,0,0,0,8,0,3,4,0,1,nan,0.0,0,0,0,0
75,1,cautious,nop,nan,30,0,28.465648331592256,15.0,2.0,4.0,9.0,25,0,2,17,2,0,0,0,46.0,0.0,10.1587779979107,3,1,0,2,0,0,5,2,1,1,0,1,nan,0.0,0,0,0,0
76,1,cautious,nop,nan,30,0,29.798981664924852,3.0,4.0,7.0,16.0,30,0,1,7,1,1,0,1,40.0,0.0,11.758777997909814,1,0,1,0,0,0,5,0,2,3,0,0,nan,0.0,0,0,0,0
77,1,cautious,nop,nan,22,1,29.725884088533892,4.0,7.0,5.0,6.0,22,1,7,12,0,0,1,0,42.0,0.0,7.558777997909825,3,0,3,0,0,0,11,0,4,1,1,5,nan,0.0,0,0,0,0
78,1,cautious,nop,nan,30,0,29.798981664924852,11.0,2.0,10.0,7.0,30,0,3,13,1,0,0,0,47.0,0.0,11.758777997909814,1,0,0,1,0,0,6,0,2,1,1,2,nan,0.0,0,0,0,0
79,1,cautious,nop,nan,30,0,29.798981664924852,9.0,8.0,7.0,6.0,30,0,3,16,0,2,0,0,51.0,0.0,11.758777997909814,2,0,0,2,0,0,10,0,2,5,1,2,nan,0.0,0,0,0,0
80,1,cautious,nop,nan,30,0,29.798981664924852,1.0,1.0,7.0,21.0,30,0,2,3,0,1,0,0,36.0,0.0,11.758777997909814,3,0,3,0,0,0,5,0,3,0,1,1,nan,0.0,0,0,0,0
81,1,cautious,nop,nan,30,0,29.798981664924852,2.0,2.0,19.0,7.0,29,0,3,4,1,2,0,0,39.0,0.0,11.758777997909814,3,0,2,1,0,0,8,1,2,2,2,1,nan,0.0,0,0,0,0
82,1,cautious,nop,nan,30,0,29.798981664924852,8.0,7.0,9.0,6.0,30,0,3,15,2,1,0,1,51.0,0.0,11.758777997909814,2,0,1,1,0,0,8,0,3,3,1,1,nan,0.0,0,0,0,0
83,1,cautious,nop,nan,30,0,29.798981664924852,4.0,16.0,6.0,4.0,30,0,2,19,1,1,0,0,53.0,0.0,11.758777997909814,3,0,0,3,0,0,7,0,2,4,0,1,nan,0.0,0,0,0,0
84,1,cautious,nop,nan,30,0,29.798981664924852,10.0,14.0,6.0,0.0,30,1,6,25,0,0,0,0,62.0,0.0,11.758777997909814,4,0,2,1,1,0,10,0,3,2,3,2,nan,0.0,0,0,0,0
85,1,cautious,nop,nan,30,0,29.798981664924852,3.0,14.0,10.0,3.0,30,0,4,17,1,1,0,0,53.0,0.0,11.758777997909814,2,0,1,1,0,0,7,0,2,2,3,0,nan,0.0,0,0,0,0
86,1,cautious,nop,nan,30,0,29.798981664924852,4.0,17.0,7.0,2.0,30,1,4,21,0,2,0,0,58.0,0.0,11.758777997909814,5,0,2,2,0,1,8,0,3,2,2,1,nan,0.0,0,0,0,0
87,1,cautious,nop,nan,30,0,29.632314998258188,1.0,12.0,11.0,6.0,29,0,2,13,0,0,0,0,44.0,0.0,11.558777997909814,0,0,0,0,0,0,9,0,3,4,0,2,nan,0.0,0,0,0,0
88,1,cautious,nop,nan,30,0,29.798981664924852,8.0,10.0,6.0,6.0,30,1,3,19,0,0,0,0,53.0,0.0,11.758777997909814,3,0,2,0,1,0,9,0,6,2,0,1,nan,0.0,0,0,0,0
89,1,cautious,nop,nan,16,1,29.363993195054974,16.0,0.0,0.0,0.0,14,0,3,16,0,0,2,0,33.0,0.0,4.992955644835183,2,2,0,0,0,0,4,2,1,0,1,0,nan,0.0,0,0,0,0
90,1,cautious,nop,nan,3,1,27.99984829440037,1.0,2.0,0.0,0.0,3,0,1,3,0,0,0,0,7.0,0.0,-0.040018204671955604,2,0,1,1,0,0,2,0,1,1,0,0,nan,0.0,0,0,0,0
