episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
79,1,right_lane,adaptive,True,3.1623,40,0,21.018957345749705,1.0,1.0,38.0,0.5,7.0,61.17839840398453,41.42839840398452,19.75,nan,0.0,0,0,0,40
80,1,right_lane,adaptive,True,3.1623,34,1,23.69877334820184,0.0,0.0,34.0,0.0,7.0,55.83033175386274,38.83033175386273,17.0,nan,0.0,0,0,0,34
81,1,right_lane,adaptive,True,3.1623,40,0,21.766466606367043,0.0,1.0,39.0,0.0,2.5,62.12541314631887,42.12541314631887,20.0,nan,0.0,0,0,0,40
82,1,right_lane,adaptive,True,3.1623,40,0,21.268957345971565,0.0,0.0,40.0,0.0,3.0,61.83379213911206,41.83379213911206,20.0,nan,0.0,0,0,0,40
83,1,right_lane,adaptive,True,3.1623,40,0,22.391789654732086,1.0,1.0,38.0,0.5,11.0,63.374930802877735,43.62493080287773,19.75,nan,0.0,0,0,0,40
84,1,right_lane,adaptive,True,3.1623,40,0,22.643957345971565,0.0,0.0,40.0,0.0,1.0,64.03334332788558,44.03334332788558,20.0,nan,0.0,0,0,0,40
85,1,right_lane,adaptive,True,3.1623,40,0,20.893957345971565,0.0,0.0,40.0,0.0,7.0,61.2303317535545,41.2303317535545,20.0,nan,0.0,0,0,0,40
86,1,right_lane,adaptive,True,3.1623,40,0,21.393957345971554,0.0,0.0,40.0,0.0,7.5,62.030331753554485,42.03033175355448,20.0,nan,0.0,0,0,0,40
87,1,right_lane,adaptive,True,3.1623,40,0,21.018957345971565,1.0,1.0,38.0,0.5,1.5,61.178398403043936,41.42839840304394,19.75,nan,0.0,0,0,0,40
88,1,right_lane,adaptive,True,3.1623,40,0,22.893671888689,0.0,1.0,39.0,0.0,3.5,64.42893978304966,44.42893978304965,20.0,nan,0.0,0,0,0,40
89,1,right_lane,adaptive,True,3.1623,40,0,20.8939573329563,1.0,1.0,38.0,0.5,12.0,60.97879374158068,41.22879374158068,19.75,nan,0.0,0,0,0,40
90,1,right_lane,adaptive,True,3.1623,28,1,21.09851049424509,1.0,5.0,22.0,3.5,10.5,41.52660835582054,29.026608355820542,12.5,18.0,0.07142857142857142,0,0,2,26
91,1,right_lane,adaptive,True,3.1623,40,0,22.143957345971565,0.0,0.0,40.0,0.0,7.0,62.480331753554516,42.73033175355451,19.75,nan,0.0,0,0,0,40
92,1,right_lane,adaptive,True,3.1623,40,0,20.768957345971565,1.0,1.0,38.0,0.5,6.0,60.77839910880876,41.02839910880877,19.75,nan,0.0,0,0,0,40
93,1,right_lane,adaptive,True,3.1623,40,0,20.518957345971565,0.0,0.0,40.0,0.0,19.0,60.6303317535545,40.63033175355451,20.0,nan,0.0,0,0,0,40
94,1,right_lane,adaptive,True,3.1623,40,0,21.518957345971565,0.0,0.0,40.0,0.0,17.0,62.23033175355451,42.2303317535545,20.0,nan,0.0,0,0,0,40
95,1,right_lane,adaptive,True,3.1623,40,0,21.768957345971565,0.0,1.0,39.0,0.0,2.5,62.62939766843071,42.62939766843073,20.0,nan,0.0,0,0,0,40
96,1,right_lane,adaptive,True,3.1623,40,0,21.268957345967657,1.0,1.0,38.0,0.5,2.0,61.57839910880253,41.82839910880251,19.75,nan,0.0,0,0,0,40
97,1,right_lane,adaptive,True,3.1623,40,0,23.643957345971565,0.0,1.0,39.0,0.0,6.0,65.62939766774726,45.629397667747256,20.0,nan,0.0,0,0,0,40
98,1,right_lane,adaptive,True,3.1623,40,0,22.018957345971565,0.0,1.0,39.0,0.0,6.0,63.02939766774115,43.029397667741144,20.0,nan,0.0,0,0,0,40
99,1,right_lane,adaptive,True,3.1623,39,1,21.814315226637497,1.0,1.0,37.0,1.0,8.5,60.87839840507329,41.6283984050733,19.25,nan,0.0,0,0,0,39
100,1,right_lane,adaptive,True,3.1623,40,0,23.143957345971565,1.0,1.0,38.0,0.5,1.0,63.8283984043415,44.3283984043415,19.5,nan,0.0,0,0,0,40
101,1,right_lane,adaptive,True,3.1623,40,0,21.393957345967653,1.0,1.0,38.0,0.5,2.0,61.778398405066994,42.028398405067,19.75,nan,0.0,0,0,0,40
102,1,right_lane,adaptive,True,3.1623,40,0,21.768957345971565,0.0,6.0,34.0,3.0,3.0,61.30330265249835,42.80330265249836,18.5,18.0,0.05,0,0,2,38
103,1,right_lane,adaptive,True,3.1623,40,0,21.893957345971565,1.0,1.0,38.0,0.5,5.5,62.5783991088088,42.82839910880881,19.75,nan,0.0,0,0,0,40
104,1,right_lane,adaptive,True,3.1623,40,0,20.518957345971565,0.0,1.0,39.0,0.0,5.5,60.629397666520454,40.629397666520454,20.0,nan,0.0,0,0,0,40
105,1,right_lane,adaptive,True,3.1623,3,1,25.0,1.0,1.0,1.0,1.0,1.5,4.648067887473768,3.3980678874737684,1.25,nan,0.0,0,0,0,3
106,1,right_lane,adaptive,True,3.1623,40,0,21.268957345971565,0.0,0.0,40.0,0.0,2.0,61.0803317535545,41.33033175355451,19.75,nan,0.0,0,0,0,40
107,1,right_lane,adaptive,True,3.1623,40,0,20.893957345971565,1.0,1.0,38.0,0.5,8.5,60.97839840434078,41.22839840434077,19.75,nan,0.0,0,0,0,40
108,1,right_lane,adaptive,True,3.1623,40,0,21.768957345971053,1.0,1.0,38.0,0.5,3.5,62.378398404339954,42.62839840433996,19.75,nan,0.0,0,0,0,40
109,1,right_lane,adaptive,True,3.1623,40,0,22.643957345971565,0.0,1.0,39.0,0.0,3.0,64.02939832968683,44.029398329686835,20.0,nan,0.0,0,0,0,40
110,1,right_lane,adaptive,True,3.1623,40,0,20.768957345971565,1.0,4.0,35.0,2.0,12.5,60.02745387585988,41.02745387585988,19.0,18.0,0.05,0,0,2,38
111,1,right_lane,adaptive,True,3.1623,40,0,21.518957345971057,1.0,4.0,35.0,2.0,6.5,61.22481079465722,42.224810794657216,19.0,18.0,0.05,0,0,2,38
