episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time,lane_3_time,lane_4_time,lane_5_time
83,1,right_lane,nop,False,nan,40,0,24.393957345970982,13.0,0.0,14.323766987503404,60.274336859768844,47.024336859768844,13.25,nan,0.0,0,0,0,0,9.0,9.0,22.0,0.0,0.0,0.0
84,1,right_lane,nop,False,nan,40,0,22.893957345971565,26.5,0.0,23.768630243852385,51.42837714912487,44.428377149124856,7.0,nan,0.0,0,0,0,0,25.0,1.0,14.0,0.0,0.0,0.0
85,1,right_lane,nop,False,nan,40,0,22.393957345971565,11.0,0.0,12.098779067397118,57.62736665956175,43.62736665956175,14.0,nan,0.0,0,0,0,0,5.0,12.0,23.0,0.0,0.0,0.0
86,1,right_lane,nop,False,nan,40,0,22.893957345971565,5.0,0.0,5.538972906685558,61.928689472942914,44.428689472942914,17.5,nan,0.0,0,0,0,0,0.0,10.0,30.0,0.0,0.0,0.0
87,1,right_lane,nop,False,nan,4,1,27.313714034107267,1.5,0.0,1.8309156596660614,6.46856749973276,4.96856749973276,1.5,nan,0.0,0,0,0,0,1.0,2.0,1.0,0.0,0.0,0.0
88,1,right_lane,nop,False,nan,40,0,23.002496440421815,21.0,0.0,21.224517818540335,53.601124060516725,44.10112406051673,9.5,nan,0.0,0,0,0,0,18.0,6.0,16.0,0.0,0.0,0.0
89,1,right_lane,nop,False,nan,40,0,26.0189572471072,14.0,0.0,15.508796877982832,62.36872298498976,49.618722984989766,12.75,nan,0.0,0,0,0,0,11.0,8.0,21.0,0.0,0.0,0.0
90,1,right_lane,nop,False,nan,40,0,21.268957345971565,8.0,0.0,10.136301284539513,58.076903807106,41.826903807106,16.25,nan,0.0,0,0,0,0,2.0,12.0,26.0,0.0,0.0,0.0
91,1,right_lane,nop,False,nan,40,0,22.143957345971565,17.5,0.0,16.74389457993675,54.72986073453645,43.22986073453645,11.5,nan,0.0,0,0,0,0,9.0,15.0,16.0,0.0,0.0,0.0
92,1,right_lane,nop,False,nan,40,0,22.64395734425711,13.5,0.0,15.522340252995491,56.77853405769822,44.02853405769822,12.75,nan,0.0,0,0,0,0,14.0,1.0,25.0,0.0,0.0,0.0
93,1,right_lane,nop,False,nan,40,0,21.768957345971565,22.0,0.0,21.23069016635418,52.12609693441599,42.62609693441599,9.5,nan,0.0,0,0,0,0,8.0,26.0,6.0,0.0,0.0,0.0
94,1,right_lane,nop,False,nan,40,0,22.893957345971565,27.5,0.0,25.484273127745837,50.67351780628822,44.42351780628822,6.25,nan,0.0,0,0,0,0,19.0,15.0,6.0,0.0,0.0,0.0
95,1,right_lane,nop,False,nan,40,0,22.391461004214154,7.0,0.0,8.360089660778613,60.12448201079159,43.6244820107916,16.5,nan,0.0,0,0,0,0,5.0,3.0,32.0,0.0,0.0,0.0
96,1,right_lane,nop,False,nan,40,0,21.268957344286836,10.0,0.0,12.313595160841942,56.32982028645124,41.82982028645123,14.5,nan,0.0,0,0,0,0,4.0,14.0,22.0,0.0,0.0,0.0
97,1,right_lane,nop,False,nan,40,0,24.39395164498405,11.0,0.0,11.242911671073443,61.828467037669654,46.82846703766967,15.0,nan,0.0,0,0,0,0,9.0,3.0,28.0,0.0,0.0,0.0
98,1,right_lane,nop,False,nan,40,0,21.018957345971565,38.5,0.0,34.5244345664978,42.178996771188736,41.428996771188736,0.75,nan,0.0,0,0,0,0,36.0,4.0,0.0,0.0,0.0,0.0
99,1,right_lane,nop,False,nan,40,0,23.356371306486597,15.5,0.0,16.178889270122454,57.16755109465005,45.167551094650044,12.0,nan,0.0,0,0,0,0,10.0,12.0,18.0,0.0,0.0,0.0
100,1,right_lane,nop,False,nan,40,0,24.893957345971565,14.5,0.0,15.085802705981678,61.02388311661479,48.02388311661479,13.0,nan,0.0,0,0,0,0,10.0,9.0,21.0,0.0,0.0,0.0
101,1,right_lane,nop,False,nan,40,0,23.518957345971565,14.0,0.0,16.50960060954094,57.92557941046915,45.42557941046915,12.5,nan,0.0,0,0,0,0,13.0,4.0,23.0,0.0,0.0,0.0
102,1,right_lane,nop,False,nan,13,1,23.135253366251842,0.0,0.0,0.3704139977307932,20.930331750450954,14.430331750450957,6.5,nan,0.0,0,0,0,0,0.0,0.0,13.0,0.0,0.0,0.0
103,1,right_lane,nop,False,nan,40,0,24.518957345971565,9.5,0.0,11.93624344001637,62.02532129592045,46.52532129592044,15.5,nan,0.0,0,0,0,0,7.0,6.0,27.0,0.0,0.0,0.0
104,1,right_lane,nop,False,nan,40,0,21.516466606367043,38.0,0.0,36.94500631093979,43.22447964103576,42.22447964103575,1.0,nan,0.0,0,0,0,0,36.0,4.0,0.0,0.0,0.0,0.0
105,1,right_lane,nop,False,nan,40,0,22.89391975488863,16.5,0.0,18.027880936861038,55.9322408507423,44.4322408507423,11.5,nan,0.0,0,0,0,0,14.0,7.0,19.0,0.0,0.0,0.0
106,1,right_lane,nop,False,nan,40,0,21.518957345971565,33.5,0.0,30.461432456159628,45.97735129886789,42.22735129886788,3.75,nan,0.0,0,0,0,0,30.0,5.0,5.0,0.0,0.0,0.0
107,1,right_lane,nop,False,nan,40,0,24.018957345971554,16.5,0.0,18.311325029038926,57.476714485761185,46.22671448576117,11.25,nan,0.0,0,0,0,0,14.0,7.0,19.0,0.0,0.0,0.0
108,1,right_lane,nop,False,nan,40,0,23.37500009886436,11.5,0.0,13.299276489077783,59.44590258833365,45.19590258833365,14.25,nan,0.0,0,0,0,0,2.0,21.0,17.0,0.0,0.0,0.0
109,1,right_lane,nop,False,nan,40,0,22.643957345971565,5.0,0.0,7.038167733410546,61.97800347623551,44.228003476235514,17.75,nan,0.0,0,0,0,0,0.0,10.0,30.0,0.0,0.0,0.0
110,1,right_lane,nop,False,nan,40,0,22.643957345971565,24.5,0.0,24.560586273670197,51.77937986312345,44.02937986312345,7.75,nan,0.0,0,0,0,0,10.0,30.0,0.0,0.0,0.0,0.0
111,1,right_lane,nop,False,nan,40,0,21.768957345971565,39.5,0.0,36.40716326236725,42.88033175355451,42.63033175355451,0.25,nan,0.0,0,0,0,0,40.0,0.0,0.0,0.0,0.0,0.0
112,1,right_lane,nop,False,nan,40,0,21.018957345971565,39.0,0.0,35.480651676654816,42.17806289305796,41.428062893057955,0.75,nan,0.0,0,0,0,0,38.0,2.0,0.0,0.0,0.0,0.0
113,1,right_lane,nop,False,nan,40,0,22.643957345971565,34.0,0.0,31.169233298110157,47.02549197363146,44.02549197363146,3.0,nan,0.0,0,0,0,0,32.0,3.0,5.0,0.0,0.0,0.0
114,1,right_lane,nop,False,nan,40,0,21.018957345971565,37.5,0.0,34.73648530244827,42.67899122942999,41.42899122942999,1.25,nan,0.0,0,0,0,0,34.0,6.0,0.0,0.0,0.0,0.0
115,1,right_lane,nop,False,nan,40,0,22.143957345971565,1.0,0.0,3.948877463935787,62.22870484961889,43.2287048496189,19.0,nan,0.0,0,0,0,0,1.0,2.0,37.0,0.0,0.0,0.0
