episode_id,policy_freq,profile,method,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
75,1,right_lane,adaptive,0.0316,40,0,20.518957345971565,1.0,1.0,38.0,0.5,16.0,60.37839840304393,40.62839840304393,19.75,18.0,1.0,0,0,40,0
76,1,right_lane,adaptive,0.0316,40,0,20.268957345971565,0.0,0.0,40.0,0.0,7.5,60.2303317535545,40.2303317535545,20.0,18.0,1.0,0,0,40,0
77,1,right_lane,adaptive,0.0316,40,0,22.143957345971565,0.0,6.0,34.0,3.0,7.0,61.728985917419166,43.22898591741917,18.5,18.0,0.95,0,0,38,2
78,1,right_lane,adaptive,0.0316,40,0,21.268957345971565,0.0,1.0,39.0,0.0,3.5,61.82939766774115,41.82939766774114,20.0,18.0,0.925,0,0,37,3
79,1,right_lane,adaptive,0.0316,40,0,21.018957345749705,1.0,1.0,38.0,0.5,7.0,61.17839840398453,41.42839840398452,19.75,18.0,0.8,0,0,32,8
80,1,right_lane,adaptive,0.0316,40,0,24.393950894458577,0.0,5.0,35.0,2.5,10.5,65.57909123327008,46.829091233270084,18.75,18.0,0.8,0,0,32,8
81,1,right_lane,adaptive,0.0316,40,0,21.766466606367043,0.0,1.0,39.0,0.0,2.5,62.62542208938908,42.62542208938908,20.0,18.0,1.0,0,0,40,0
82,1,right_lane,adaptive,0.0316,40,0,21.268957345971565,0.0,0.0,40.0,0.0,3.0,61.83379213911206,41.83379213911206,20.0,18.0,0.95,0,0,38,2
83,1,right_lane,adaptive,0.0316,40,0,22.391789654732086,1.0,1.0,38.0,0.5,11.0,63.374930802877735,43.62493080287773,19.75,18.0,0.925,0,0,37,3
84,1,right_lane,adaptive,0.0316,40,0,22.643957345971565,0.0,0.0,40.0,0.0,1.0,64.03334332788558,44.03334332788558,20.0,18.0,0.9,0,0,36,4
85,1,right_lane,adaptive,0.0316,40,0,20.893957345971565,0.0,0.0,40.0,0.0,7.0,61.2303317535545,41.2303317535545,20.0,18.0,1.0,0,0,40,0
86,1,right_lane,adaptive,0.0316,40,0,21.393957345971554,0.0,0.0,40.0,0.0,7.5,62.030331753554485,42.03033175355448,20.0,18.0,1.0,0,0,40,0
87,1,right_lane,adaptive,0.0316,40,0,21.018957345971565,1.0,1.0,38.0,0.5,1.5,61.178398403043936,41.42839840304394,19.75,18.0,0.85,0,0,34,6
88,1,right_lane,adaptive,0.0316,40,0,23.518957345971565,4.0,18.0,18.0,13.0,10.5,59.17524156318954,45.42524156318955,13.75,18.0,0.825,0,0,33,7
89,1,right_lane,adaptive,0.0316,40,0,20.8939573329563,1.0,1.0,38.0,0.5,12.0,60.72839715566054,41.22839715566054,19.5,18.0,0.95,0,0,38,2
90,1,right_lane,adaptive,0.0316,40,0,22.143957345937928,5.0,18.0,17.0,13.5,8.5,56.47364307522146,43.22364307522146,13.25,18.0,1.0,0,0,40,0
91,1,right_lane,adaptive,0.0316,40,0,22.143957345971565,0.0,0.0,40.0,0.0,7.0,63.23033175360125,43.23033175360124,20.0,18.0,0.95,0,0,38,2
92,1,right_lane,adaptive,0.0316,40,0,20.768957345971565,1.0,1.0,38.0,0.5,6.0,60.77839910880876,41.02839910880877,19.75,18.0,0.95,0,0,38,2
